id,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,,,,,,,,,0.29,,,0.3,,2.45,,,,0.44,1.32,1.55,1.1,1.21,0.75,0.28,0.27,0.34,,1.91,1.02,1.82,,2.58,0,,,
RUS,,,,,,,,0.31,,,,,0.24,,,0.61,0.27,0.4,0.82,0.51,0.25,0.14,0.25,0.22,0.15,0.12,0.05,0.02,0.01,0.03,0.01,0.01,,,,
RWA,,,,19.22,,,,,,,,,,,,,,,,37.93,,,,,31.14,,,,,23.7,,,23.69,,,
SAS,17.43,,,16.04,,,13.72,,,12.13,,,11.85,,,10.18,,,,,,9.36,,,7.85,,,6.53,,5.25,3.96,3.37,2.79,,,
SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,,,,,,,
SEN,,,,,,,,,,,36.5,,,21.43,,,,,,,16.49,,,,12.75,,,,,,12.79,,,,,
SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,,,,,,,,,,,,,,,,,,,,,,,,,17.38,,,,,,,,,,,
SLE,,,,,,,,,46.79,,,,,,,,,,,,,,21.72,,,,,,,,16.7,,,,,
SLV,,,,,,,,,11.24,,10.34,,,,8.24,9.28,,11.18,8.91,4.81,5.59,5.54,8.5,4.14,3.45,1.73,1.08,1.99,1.67,2.33,1.06,0.98,0.74,0.64,,
SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,,,,,,,,,,,,,,,,,,,,,,0.03,0.13,0.19,0.27,0.1,0.07,0.03,0.02,0.01,,,0.04,,,
SSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.91,,,,,,,
SSF,,,,,,,,,,24.33,,,27.07,,,26.68,,,26.03,,,25,,,21.17,,,19.11,,18.34,17.43,16.72,15.95,,,
SST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,,,,,,,,,,,,,,,,,,,,7.82,,,,,,,,,,8.61,,,,,,
SUR,,,,,,,,,,,,,,,,,,,16.56,,,,,,,,,,,,,,,,,
SVK,,,,,,,,0,,,,0,,,,0.07,,,,,,,,0.01,0.17,0,0.53,0.28,0,0.2,0.21,0.12,,,,
SVN,,,,,,,0.02,,,,,,0.04,,,,,0.02,,,,0,0,0.22,0.05,1.53,0.21,0.03,0.48,0.05,0,0,,,,
SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,,,51.04,,,,,,17.49,,,,,,,,,16.64,,,,,,,
SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,,,,,,,,,,,,,,,,,,,0.11,,,,,,,0.05,,,,,,,0.43,,,
SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,,,,,,,,,,,,,,,,,,,,,,,26.73,,,,,,,,15.29,,,,,
TEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,,,,,,,,,,,,,,,,,,,,,,,,,,21.05,,,,,23.21,,,,,
THA,5.01,,,,,,,2.55,,1.78,,1.13,,0.52,,0.34,,0.23,0.36,0.41,,0.22,,0.12,,0.11,0.05,0.02,0.03,0.01,0.01,0.01,0,,,
TJK,,,,,,,,,,,,,,,,,,,17.49,,,,8.19,3.57,,,3.79,,0.9,,,5.21,4.88,4.06,,
TKM,,,,,,,,8.99,,,,,39.45,,,,,14.54,,,,,,,,,,,,,,,,,,
TLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLS,,,,,,,,,,,,,,,,,,,,,13.49,,,,,,12.09,,,,,,,,,
TMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,0.23,,,,,,,
TSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTO,,,,,,,,0.02,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,
TUN,,,,,3.47,,,,,2.44,,,,,2.54,,,,,1.02,,,,,0.65,,,,,0.4,,,,,,
TUR,,,,,,,0.38,,,,,,,0.57,,,,,,,,0.22,0.75,0.3,0.48,0.32,0.17,0.18,0.07,0.1,0.01,0.01,0.06,,,
